[229] ERROR:  permission denied for database scratch
[231] ERROR:  password is required
[233] LOG:  logical replication apply worker for subscription "s_scratch" has started
[234] LOG:  logical replication table synchronization worker for subscription "s_scratch", table "t" has started
[234] ERROR:  role "migrator" cannot SET ROLE to "postgres"
[275] LOG:  logical replication table synchronization worker for subscription "s_scratch", table "t" has started
[275] ERROR:  role "migrator" cannot SET ROLE to "postgres"
[320] LOG:  logical replication table synchronization worker for subscription "s_scratch", table "t" has started
[320] LOG:  logical replication table synchronization worker for subscription "s_scratch", table "t" has finished
